pair,listener,condition,prop_target_fix,prop_compet_fix,num_trials,numtNA,numcNA
19,38,Two Contrasts Shared,0.75,0.5416666666666666,24,0,0
19,38,Two Contrasts Privileged,0.7777777777777778,0.4444444444444444,9,0,0
19,38,One Contrast,0.75,0.5,8,0,0
20,39,Two Contrasts Shared,0.7037037037037037,0.5185185185185185,27,0,0
20,39,Two Contrasts Privileged,0.75,0.625,16,0,0
20,39,One Contrast,0.6666666666666666,0.4,15,0,0
20,40,Two Contrasts Shared,0.6896551724137931,0.5172413793103449,29,0,0
20,40,Two Contrasts Privileged,0.6666666666666666,0.5833333333333334,12,0,0
20,40,One Contrast,0.9285714285714286,0.21428571428571427,14,0,0
21,41,Two Contrasts Shared,0.9,0.4666666666666667,30,0,0
21,41,Two Contrasts Privileged,0.7692307692307693,0.23076923076923078,13,0,0
21,41,One Contrast,0.8125,0.5,16,0,0
21,42,Two Contrasts Shared,0.7692307692307693,0.38461538461538464,26,0,0
21,42,Two Contrasts Privileged,0.6153846153846154,0.15384615384615385,13,0,0
21,42,One Contrast,0.8181818181818182,0.7272727272727273,11,0,0
22,43,Two Contrasts Shared,0.8620689655172413,0.3793103448275862,29,0,0
22,43,Two Contrasts Privileged,0.8125,0.5625,16,0,0
22,43,One Contrast,1,0.3333333333333333,12,0,0
22,44,Two Contrasts Shared,0.8666666666666667,0.43333333333333335,30,0,0
22,44,Two Contrasts Privileged,0.875,0.4375,16,0,0
22,44,One Contrast,0.9333333333333333,0.2,15,0,0
23,45,Two Contrasts Shared,0.7333333333333333,0.5,30,0,0
23,45,Two Contrasts Privileged,0.9285714285714286,0.14285714285714285,14,0,0
23,45,One Contrast,0.9285714285714286,0.42857142857142855,14,0,0
23,46,Two Contrasts Shared,0.8064516129032258,0.5161290322580645,31,0,0
23,46,Two Contrasts Privileged,0.8666666666666667,0.4,15,0,0
23,46,One Contrast,0.8,0.13333333333333333,15,0,0
24,47,Two Contrasts Shared,0.7307692307692307,0.3076923076923077,26,0,0
24,47,Two Contrasts Privileged,0.7692307692307693,0.5384615384615384,13,0,0
24,47,One Contrast,0.8181818181818182,0.18181818181818182,11,0,0
24,48,Two Contrasts Shared,0.34782608695652173,0.30434782608695654,23,0,0
24,48,Two Contrasts Privileged,0.25,0.3333333333333333,12,0,0
24,48,One Contrast,0,0.25,12,0,0
25,49,Two Contrasts Shared,0.8518518518518519,0.37037037037037035,27,0,0
25,49,Two Contrasts Privileged,0.7142857142857143,0.2857142857142857,14,0,0
25,49,One Contrast,0.8571428571428571,0.21428571428571427,14,0,0
25,50,Two Contrasts Shared,0.8928571428571429,0.5357142857142857,28,0,0
25,50,Two Contrasts Privileged,0.6363636363636364,0.36363636363636365,11,0,0
25,50,One Contrast,0.8461538461538461,0.15384615384615385,13,0,0
27,53,Two Contrasts Shared,0.5862068965517241,0.4482758620689655,29,0,0
27,53,Two Contrasts Privileged,1,0.46153846153846156,13,0,0
27,53,One Contrast,0.6153846153846154,0.3076923076923077,13,0,0
27,54,Two Contrasts Shared,0.8571428571428571,0.42857142857142855,28,0,0
27,54,Two Contrasts Privileged,1,0.38461538461538464,13,0,0
27,54,One Contrast,0.6923076923076923,0.5384615384615384,13,0,0
28,55,Two Contrasts Shared,0.7857142857142857,0.5714285714285714,28,0,0
28,55,Two Contrasts Privileged,0.75,0.5625,16,0,0
28,55,One Contrast,0.6428571428571429,0.42857142857142855,14,0,0
28,56,Two Contrasts Shared,0.8666666666666667,0.6666666666666666,30,0,0
28,56,Two Contrasts Privileged,0.9333333333333333,0.4666666666666667,15,0,0
28,56,One Contrast,0.9333333333333333,0.5333333333333333,15,0,0
30,59,Two Contrasts Shared,0.7777777777777778,0.4074074074074074,27,0,0
30,59,Two Contrasts Privileged,0.875,0.5625,16,0,0
