pair,speaker,condition,prop_size_adj_use,num_trials,num_NA
33,66,No Contrast,0,16,0
33,66,One Contrast Privileged,1,16,0
33,66,Two Contrasts Shared,0.9375,32,0
34,67,No Contrast,0,16,0
34,67,One Contrast Privileged,0.1875,16,0
34,67,Two Contrasts Shared,1,32,0
34,68,No Contrast,0,16,0
34,68,One Contrast Privileged,0,16,0
34,68,Two Contrasts Shared,1,32,0
35,69,No Contrast,0.5,16,0
35,69,One Contrast Privileged,1,16,0
35,69,Two Contrasts Shared,1,32,0
35,70,No Contrast,0.5625,16,0
35,70,One Contrast Privileged,0.75,16,0
35,70,Two Contrasts Shared,1,32,0
36,72,No Contrast,0.25,16,0
36,72,One Contrast Privileged,0.75,16,0
36,72,Two Contrasts Shared,1,32,0
36,73,No Contrast,0,16,0
36,73,One Contrast Privileged,0.3125,16,0
36,73,Two Contrasts Shared,0.96875,32,0
38,76,No Contrast,0.375,16,0
38,76,One Contrast Privileged,0.875,16,0
38,76,Two Contrasts Shared,0.96875,32,0
38,77,No Contrast,0.625,16,0
38,77,One Contrast Privileged,1,16,0
38,77,Two Contrasts Shared,1,32,0
39,78,No Contrast,0.06666666666666667,16,1
39,78,One Contrast Privileged,1,16,0
39,78,Two Contrasts Shared,0.96875,32,0
39,79,No Contrast,0,16,0
39,79,One Contrast Privileged,0.5625,16,0
39,79,Two Contrasts Shared,1,32,0
41,82,No Contrast,0.0625,16,0
41,82,One Contrast Privileged,0.4375,16,0
41,82,Two Contrasts Shared,1,32,0
41,83,No Contrast,0,16,1
41,83,One Contrast Privileged,1,16,0
41,83,Two Contrasts Shared,1,32,1
42,84,No Contrast,0,16,0
42,84,One Contrast Privileged,0.1875,16,0
42,84,Two Contrasts Shared,1,32,0
42,85,No Contrast,0,16,0
42,85,One Contrast Privileged,0.1875,16,0
42,85,Two Contrasts Shared,1,32,0
43,86,No Contrast,0,16,0
43,86,One Contrast Privileged,0.1875,16,0
43,86,Two Contrasts Shared,0.96875,32,0
43,87,No Contrast,0.0625,16,0
43,87,One Contrast Privileged,0.75,16,0
43,87,Two Contrasts Shared,1,32,0
44,88,No Contrast,0,16,0
44,88,One Contrast Privileged,1,16,0
44,88,Two Contrasts Shared,0.9375,32,0
44,89,No Contrast,0,16,0
44,89,One Contrast Privileged,1,16,0
44,89,Two Contrasts Shared,1,32,0
46,92,No Contrast,0.1875,16,0
46,92,One Contrast Privileged,1,16,0
46,92,Two Contrasts Shared,1,32,0
46,93,No Contrast,0,16,0
46,93,One Contrast Privileged,0.375,16,0
46,93,Two Contrasts Shared,1,32,0
47,94,No Contrast,0,16,1
47,94,One Contrast Privileged,1,16,0
47,94,Two Contrasts Shared,0.96875,32,0
47,95,No Contrast,0,16,0
47,95,One Contrast Privileged,1,16,0
47,95,Two Contrasts Shared,1,32,0
48,96,No Contrast,0.0625,16,0
48,96,One Contrast Privileged,0.875,16,0
48,96,Two Contrasts Shared,0.8125,32,0
48,97,No Contrast,0.125,16,0
48,97,One Contrast Privileged,1,16,0
48,97,Two Contrasts Shared,1,32,0
49,98,No Contrast,0.5625,16,0
49,98,One Contrast Privileged,1,16,0
49,98,Two Contrasts Shared,1,32,0
49,99,No Contrast,0.625,16,0
49,99,One Contrast Privileged,0.375,16,0
49,99,Two Contrasts Shared,1,32,0
50,100,No Contrast,0,16,0
50,100,One Contrast Privileged,1,16,0
50,100,Two Contrasts Shared,0.96875,32,0
50,101,No Contrast,0,16,0
50,101,One Contrast Privileged,0.25,16,0
50,101,Two Contrasts Shared,1,32,0
51,102,No Contrast,0.125,16,0
51,102,One Contrast Privileged,0.9375,16,0
51,102,Two Contrasts Shared,1,32,0
51,103,No Contrast,0,16,0
51,103,One Contrast Privileged,0.6428571428571429,16,2
51,103,Two Contrasts Shared,0.9032258064516129,32,1
52,104,No Contrast,0,16,0
52,104,One Contrast Privileged,0.9375,16,0
52,104,Two Contrasts Shared,0.875,32,0
52,105,No Contrast,0,16,0
52,105,One Contrast Privileged,0.125,16,0
52,105,Two Contrasts Shared,1,32,0
53,106,No Contrast,0,16,0
53,106,One Contrast Privileged,0.9375,16,0
53,106,Two Contrasts Shared,1,32,0
