pair,speaker,crit_half,crit_order_bin,condition,prop_size_adj_use,num_trials,num_NA
7,14,secondhalf,3,No Contrast,0,4,0
7,14,secondhalf,3,One Contrast Privileged,0,4,0
7,14,secondhalf,3,Two Contrasts Shared,1,8,0
7,14,secondhalf,4,No Contrast,0,5,0
7,14,secondhalf,4,One Contrast Privileged,0,5,0
7,14,secondhalf,4,Two Contrasts Shared,1,9,0
8,15,firsthalf,1,No Contrast,0.3333333333333333,3,0
8,15,firsthalf,1,One Contrast Privileged,1,3,0
8,15,firsthalf,1,Two Contrasts Shared,1,7,0
8,15,firsthalf,2,No Contrast,0.25,4,0
8,15,firsthalf,2,One Contrast Privileged,1,4,0
8,15,firsthalf,2,Two Contrasts Shared,1,8,0
8,15,secondhalf,3,No Contrast,0,4,0
8,15,secondhalf,3,One Contrast Privileged,0.75,4,0
8,15,secondhalf,3,Two Contrasts Shared,1,8,0
8,15,secondhalf,4,No Contrast,0,5,0
8,15,secondhalf,4,One Contrast Privileged,0.8,5,0
8,15,secondhalf,4,Two Contrasts Shared,1,9,0
8,16,firsthalf,1,No Contrast,0.3333333333333333,3,0
8,16,firsthalf,1,One Contrast Privileged,1,3,0
8,16,firsthalf,1,Two Contrasts Shared,1,7,0
8,16,firsthalf,2,No Contrast,0,4,0
8,16,firsthalf,2,One Contrast Privileged,1,4,0
8,16,firsthalf,2,Two Contrasts Shared,1,8,0
8,16,secondhalf,3,No Contrast,0,4,0
8,16,secondhalf,3,One Contrast Privileged,1,4,0
8,16,secondhalf,3,Two Contrasts Shared,1,8,0
8,16,secondhalf,4,No Contrast,0.2,5,0
8,16,secondhalf,4,One Contrast Privileged,1,5,0
8,16,secondhalf,4,Two Contrasts Shared,1,9,0
9,17,firsthalf,1,No Contrast,0,3,0
9,17,firsthalf,1,One Contrast Privileged,0.3333333333333333,3,0
9,17,firsthalf,1,Two Contrasts Shared,1,7,0
9,17,firsthalf,2,No Contrast,0,4,0
9,17,firsthalf,2,One Contrast Privileged,0.75,4,0
9,17,firsthalf,2,Two Contrasts Shared,1,8,0
9,17,secondhalf,3,No Contrast,0.75,4,0
9,17,secondhalf,3,One Contrast Privileged,1,4,0
9,17,secondhalf,3,Two Contrasts Shared,1,8,0
9,17,secondhalf,4,No Contrast,0.6,5,0
9,17,secondhalf,4,One Contrast Privileged,1,5,0
9,17,secondhalf,4,Two Contrasts Shared,0.8888888888888888,9,0
9,18,firsthalf,1,No Contrast,0,3,0
9,18,firsthalf,1,One Contrast Privileged,1,3,0
9,18,firsthalf,1,Two Contrasts Shared,1,7,0
9,18,firsthalf,2,No Contrast,0.25,4,0
9,18,firsthalf,2,One Contrast Privileged,1,4,0
9,18,firsthalf,2,Two Contrasts Shared,1,8,0
9,18,secondhalf,3,No Contrast,0.25,4,0
9,18,secondhalf,3,One Contrast Privileged,1,4,0
9,18,secondhalf,3,Two Contrasts Shared,1,8,0
9,18,secondhalf,4,No Contrast,0,5,0
9,18,secondhalf,4,One Contrast Privileged,1,5,0
9,18,secondhalf,4,Two Contrasts Shared,1,9,0
10,19,firsthalf,1,No Contrast,0,3,0
10,19,firsthalf,1,One Contrast Privileged,1,3,0
10,19,firsthalf,1,Two Contrasts Shared,1,7,0
10,19,firsthalf,2,No Contrast,0,4,0
10,19,firsthalf,2,One Contrast Privileged,1,4,0
10,19,firsthalf,2,Two Contrasts Shared,1,8,0
10,19,secondhalf,3,No Contrast,0,4,0
10,19,secondhalf,3,One Contrast Privileged,1,4,0
10,19,secondhalf,3,Two Contrasts Shared,1,8,0
10,19,secondhalf,4,No Contrast,0,5,0
