pair,speaker,crit_half,condition,prop_size_adj_use,num_trials,num_NA
14,28,secondhalf,No Contrast,0,9,0
14,28,secondhalf,One Contrast Privileged,0.4444444444444444,9,0
14,28,secondhalf,Two Contrasts Shared,1,17,0
15,29,firsthalf,No Contrast,0,7,0
15,29,firsthalf,One Contrast Privileged,0.14285714285714285,7,0
15,29,firsthalf,Two Contrasts Shared,0.9333333333333333,15,0
15,29,secondhalf,No Contrast,0,9,0
15,29,secondhalf,One Contrast Privileged,0.1111111111111111,9,0
15,29,secondhalf,Two Contrasts Shared,0.9411764705882353,17,0
15,30,firsthalf,No Contrast,0,7,0
15,30,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
15,30,firsthalf,Two Contrasts Shared,1,15,0
15,30,secondhalf,No Contrast,0.1111111111111111,9,0
15,30,secondhalf,One Contrast Privileged,1,9,0
15,30,secondhalf,Two Contrasts Shared,1,17,0
16,31,firsthalf,No Contrast,0.2857142857142857,7,0
16,31,firsthalf,One Contrast Privileged,0.7142857142857143,7,0
16,31,firsthalf,Two Contrasts Shared,1,15,0
16,31,secondhalf,No Contrast,0,9,0
16,31,secondhalf,One Contrast Privileged,0.2222222222222222,9,0
16,31,secondhalf,Two Contrasts Shared,1,17,0
16,32,firsthalf,No Contrast,0,7,0
16,32,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
16,32,firsthalf,Two Contrasts Shared,1,15,0
16,32,secondhalf,No Contrast,0,9,0
16,32,secondhalf,One Contrast Privileged,0.4444444444444444,9,0
16,32,secondhalf,Two Contrasts Shared,1,17,0
18,35,firsthalf,No Contrast,0,7,0
18,35,firsthalf,One Contrast Privileged,0.7142857142857143,7,0
18,35,firsthalf,Two Contrasts Shared,1,15,0
18,35,secondhalf,No Contrast,0,9,0
18,35,secondhalf,One Contrast Privileged,0.2222222222222222,9,0
18,35,secondhalf,Two Contrasts Shared,1,17,0
18,36,firsthalf,No Contrast,0,7,0
18,36,firsthalf,One Contrast Privileged,0,7,0
18,36,firsthalf,Two Contrasts Shared,1,15,1
18,36,secondhalf,No Contrast,0,9,0
18,36,secondhalf,One Contrast Privileged,0.1111111111111111,9,0
18,36,secondhalf,Two Contrasts Shared,1,17,0
19,37,firsthalf,No Contrast,0,7,0
19,37,firsthalf,One Contrast Privileged,0.7142857142857143,7,0
19,37,firsthalf,Two Contrasts Shared,1,15,0
19,37,secondhalf,No Contrast,0,9,0
19,37,secondhalf,One Contrast Privileged,0,9,0
19,37,secondhalf,Two Contrasts Shared,1,17,0
19,38,firsthalf,No Contrast,0,7,0
19,38,firsthalf,One Contrast Privileged,1,7,0
19,38,firsthalf,Two Contrasts Shared,1,15,1
19,38,secondhalf,No Contrast,0,9,0
19,38,secondhalf,One Contrast Privileged,0.8888888888888888,9,0
19,38,secondhalf,Two Contrasts Shared,0.9375,17,1
20,39,firsthalf,No Contrast,0.2857142857142857,7,0
20,39,firsthalf,One Contrast Privileged,1,7,0
20,39,firsthalf,Two Contrasts Shared,1,15,0
20,39,secondhalf,No Contrast,0,9,0
20,39,secondhalf,One Contrast Privileged,1,9,0
20,39,secondhalf,Two Contrasts Shared,0.9411764705882353,17,0
20,40,firsthalf,No Contrast,0,7,0
20,40,firsthalf,One Contrast Privileged,0.14285714285714285,7,0
20,40,firsthalf,Two Contrasts Shared,0.9333333333333333,15,0
20,40,secondhalf,No Contrast,0.1111111111111111,9,0
20,40,secondhalf,One Contrast Privileged,0,9,0
20,40,secondhalf,Two Contrasts Shared,1,17,0
21,41,firsthalf,No Contrast,0,7,0
21,41,firsthalf,One Contrast Privileged,0.5714285714285714,7,0
21,41,firsthalf,Two Contrasts Shared,1,15,0
21,41,secondhalf,No Contrast,0,9,0
21,41,secondhalf,One Contrast Privileged,0.3333333333333333,9,0
21,41,secondhalf,Two Contrasts Shared,1,17,0
21,42,firsthalf,No Contrast,0.14285714285714285,7,0
21,42,firsthalf,One Contrast Privileged,0.42857142857142855,7,0
21,42,firsthalf,Two Contrasts Shared,1,15,0
21,42,secondhalf,No Contrast,0,9,0
21,42,secondhalf,One Contrast Privileged,0,9,0
21,42,secondhalf,Two Contrasts Shared,1,17,0
22,43,firsthalf,No Contrast,0.14285714285714285,7,0
22,43,firsthalf,One Contrast Privileged,1,7,0
22,43,firsthalf,Two Contrasts Shared,1,15,0
22,43,secondhalf,No Contrast,0.5555555555555556,9,0
22,43,secondhalf,One Contrast Privileged,1,9,0
22,43,secondhalf,Two Contrasts Shared,1,17,0
22,44,firsthalf,No Contrast,0,7,0
22,44,firsthalf,One Contrast Privileged,0,7,0
22,44,firsthalf,Two Contrasts Shared,1,15,0
22,44,secondhalf,No Contrast,0,9,0
22,44,secondhalf,One Contrast Privileged,0,9,0
22,44,secondhalf,Two Contrasts Shared,1,17,0
23,45,firsthalf,No Contrast,0.5714285714285714,7,0
23,45,firsthalf,One Contrast Privileged,0.42857142857142855,7,0
23,45,firsthalf,Two Contrasts Shared,0.9333333333333333,15,0
23,45,secondhalf,No Contrast,0.1111111111111111,9,0
23,45,secondhalf,One Contrast Privileged,0.2222222222222222,9,0
23,45,secondhalf,Two Contrasts Shared,1,17,0
23,46,firsthalf,No Contrast,0.14285714285714285,7,0
23,46,firsthalf,One Contrast Privileged,0.42857142857142855,7,0
23,46,firsthalf,Two Contrasts Shared,1,15,0
23,46,secondhalf,No Contrast,0,9,0
23,46,secondhalf,One Contrast Privileged,0,9,0
23,46,secondhalf,Two Contrasts Shared,1,17,0
24,47,firsthalf,No Contrast,0,7,0
24,47,firsthalf,One Contrast Privileged,1,7,0
24,47,firsthalf,Two Contrasts Shared,1,15,0
24,47,secondhalf,No Contrast,0,9,0
24,47,secondhalf,One Contrast Privileged,1,9,0
24,47,secondhalf,Two Contrasts Shared,0.9411764705882353,17,0
24,48,firsthalf,No Contrast,0,7,0
24,48,firsthalf,One Contrast Privileged,1,7,0
24,48,firsthalf,Two Contrasts Shared,1,15,0
24,48,secondhalf,No Contrast,0,9,0
24,48,secondhalf,One Contrast Privileged,1,9,0
24,48,secondhalf,Two Contrasts Shared,0.9411764705882353,17,0
25,49,firsthalf,No Contrast,0.14285714285714285,7,0
25,49,firsthalf,One Contrast Privileged,1,7,0
25,49,firsthalf,Two Contrasts Shared,1,15,0
25,49,secondhalf,No Contrast,0,9,0
25,49,secondhalf,One Contrast Privileged,0.4444444444444444,9,0
25,49,secondhalf,Two Contrasts Shared,1,17,0
25,50,firsthalf,No Contrast,0,7,0
25,50,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
25,50,firsthalf,Two Contrasts Shared,1,15,0
25,50,secondhalf,No Contrast,0,9,0
25,50,secondhalf,One Contrast Privileged,1,9,0
25,50,secondhalf,Two Contrasts Shared,1,17,0
27,53,firsthalf,No Contrast,0,7,0
27,53,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
27,53,firsthalf,Two Contrasts Shared,1,15,0
27,53,secondhalf,No Contrast,0.1111111111111111,9,0
27,53,secondhalf,One Contrast Privileged,0.5555555555555556,9,0
27,53,secondhalf,Two Contrasts Shared,1,17,0
27,54,firsthalf,No Contrast,0.14285714285714285,7,0
27,54,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
27,54,firsthalf,Two Contrasts Shared,1,15,0
27,54,secondhalf,No Contrast,0,9,0
27,54,secondhalf,One Contrast Privileged,0.1111111111111111,9,0
27,54,secondhalf,Two Contrasts Shared,1,17,0
28,55,firsthalf,No Contrast,0.2857142857142857,7,0
28,55,firsthalf,One Contrast Privileged,0.5714285714285714,7,0
28,55,firsthalf,Two Contrasts Shared,1,15,0
28,55,secondhalf,No Contrast,0,9,0
28,55,secondhalf,One Contrast Privileged,0.8888888888888888,9,0
28,55,secondhalf,Two Contrasts Shared,0.9411764705882353,17,0
28,56,firsthalf,No Contrast,0,7,0
28,56,firsthalf,One Contrast Privileged,0.2857142857142857,7,0
28,56,firsthalf,Two Contrasts Shared,0.9333333333333333,15,0
28,56,secondhalf,No Contrast,0.3333333333333333,9,0
28,56,secondhalf,One Contrast Privileged,0.1111111111111111,9,0
28,56,secondhalf,Two Contrasts Shared,0.8823529411764706,17,0
30,59,firsthalf,No Contrast,0,7,0
30,59,firsthalf,One Contrast Privileged,0.7142857142857143,7,0
30,59,firsthalf,Two Contrasts Shared,1,15,0
30,59,secondhalf,No Contrast,0,9,0
30,59,secondhalf,One Contrast Privileged,0.1111111111111111,9,0
30,59,secondhalf,Two Contrasts Shared,0.9375,17,1
30,60,firsthalf,No Contrast,0,7,0
30,60,firsthalf,One Contrast Privileged,1,7,0
30,60,firsthalf,Two Contrasts Shared,1,15,0
30,60,secondhalf,No Contrast,0.1111111111111111,9,0
30,60,secondhalf,One Contrast Privileged,1,9,0
30,60,secondhalf,Two Contrasts Shared,1,17,0
31,61,firsthalf,No Contrast,0,7,0
31,61,firsthalf,One Contrast Privileged,0.2857142857142857,7,0
31,61,firsthalf,Two Contrasts Shared,1,15,0
31,61,secondhalf,No Contrast,0,9,0
31,61,secondhalf,One Contrast Privileged,0,9,0
31,61,secondhalf,Two Contrasts Shared,0.9411764705882353,17,0
31,62,firsthalf,No Contrast,0.14285714285714285,7,0
31,62,firsthalf,One Contrast Privileged,0.42857142857142855,7,0
31,62,firsthalf,Two Contrasts Shared,1,15,0
31,62,secondhalf,No Contrast,0,9,0
31,62,secondhalf,One Contrast Privileged,0,9,0
31,62,secondhalf,Two Contrasts Shared,1,17,0
